1,1,44119949,iOS Developer,"Somos una empresa líder en creación de websites, ecommerce en el mercado internacional. Estamos buscando talentosos desarrolladores con AMPLIA EXPERIENCIA en el desarrollo de Aplicaciones Móviles para iPhone, Android, iPads para trabajar en nuestra sede de San Borja.
 
 Ofrecemos un ambiente laboral excelente, un equipo muy colaborador.
 Los interesados envíen su currículum vía email de forma inmediata para acceder una entrevista y empezar a trabajar con nosotros.
 
 Posicion para cubrir inmediatamente, buen salario y permanencia dentro de nuestra organización es garantizada, esto ""no es una posición para un proyecto de unos meses o freelancing.""","Requirements:
 2+ years iOS experience
 Objective C
 iOS, iOS SDK, OS X
 GIT
 XML, SOAP, JSON
 XCode
 *.ipa - iOS
 *.apk - Android
 HTML5
 CSS3
 JQuery Mobile
 Java Script"
2,6,44119961,Practicante de Desarrollo de Negocio,"Soporte a reportes comerciales, automatizaciones reportes planificación comercial y otros. Análisis de reportes de seguimiento, automatización y seguimiento reporte horarios de salida.",No indispensable.
3,4,44119963,INGENIERO DE SISTEMA - ARQUITECTO,"- Analizar, diseñar e implementar arquitecturas técnicas para soluciones de software.
 - Analizar, diseñar e implementar soluciones end-to-end con una o más tecnologías.
 - Definir tecnología de información que se utilizará, así como los requerimientos de infraestructura necesarios para poder atender las necesidades del cliente. Esto incluye Sizing.
 - Definir procedimientos, rutinas y/o funciones que formarán parte del desarrollo del sistema.
 - Definir las pruebas técnicas necesarias sobre el procedimiento, rutina y/o función creada para garantizar su correcto funcionamiento y documentación de las mismas.
 - Definir arquitectura, diseño de iniciativas para el desarrollo de productos de software y definiendo estándares Arquitectónicos.
 - Aplicar las mejores prácticas y estándares de desarrollo.
 - Conducir la elaboración de documentación técnica de los sistemas a su cargo.
 - Balanceo de aplicaciones.
 - Integración con directorio activo.
 - Elaborar estándares de Desarrollo.
 - Apoyar con la instalación del sistema y/o bases de datos en los ambientes destinados.
 - Elaborar especificaciones de técnicas y codificación de aplicaciones.
 - Elaborar prototipo técnico de la aplicación.
 - Realizar pruebas técnicas y de integración.
 - Realizar pruebas de stress y carga.","Experiencia en arquitecturas orientadas a Tecnologías Java.
 - Experiencia en arquitecturas basadas en WebServices.
 - Experiencia en Integración de aplicativos Web.
 - Experiencia en el uso de bases de datos relacionales en diversas plataformas. Principalmente SQL Server.
 - Experiencia mínima de cuatro años en labores similares.
 - Experiencia liderando equipos de desarrollo y analistas.
 
 MANEJO DE SISTEMAS:
 Conocimientos en Software de Programación en base a su experiencia. (java, liferay).
 Spring 3.x, spring mvc, javascript, ehcache, hibernate 3.x.
 Haber usado o administrado WebSphere 7.0.
 Haber implementado algun flujo de Proceso BPM o tener conocimientos de ello.
 SQL Server 2008, Conocimientos de Apache Solr, CMS (Content management system), visual VM, JMeter."
4,4,44119966,INGENIERO DE SISTEMAS - ANALISTA FUNCIONAL,"Profesional responsable del análisis funcional y técnico de las soluciones a desarrollarse, así como la coordinación directa con el equipo implementador.
 Responsable de dar soporte a las actividades del Jefe de Proyectos.
 Responsable de supervisar que el producto a entregar cumpla con lo establecido en la propuesta.","- Experiencia en Análisis de Sistemas, mediante la elaboración de Especificación de Funcionalidades bajo la metodología UML (Casos de Uso, Diagramas de Estado, etc.).
 - Experiencia en interacción directa con clientes y usuarios.
 - Experiencia en desarrollo de aplicaciones Web en PHP, .Net o Java.
 - Experiencia en modelamiento de base de datos.
 - Conocimiento de SQL Server 2005/2008,Oracle y PLSQL.
 - Experto en metodología de desarrollo de software RUP o SCRUM.
 - Experiencia mínima de cuatro años en labores similares.
 
 CONOCIMIENTOS:
 Conocimientos en Software de Programación en base a su experiencia."
5,4,44119968,INGENIERO DE SISTEMAS - ANALISTA DE CALIDAD,"Elaborar y ejecutar los escenarios y casos de pruebas que permitirán verificar el correcto funcionamiento de las aplicaciones web o, en su defecto, detectar los errores que deben ser corregidos por las áreas encargadas.","- Experiencia mínima de 1 año demostrable en proyectos similares, capacidad de trabajo en equipo.
 - Egresado cursando último ciclo en ingeniería de sistemas, computación o informática de universidad o instituto.
 - Conocimientos de ingeniería de software web y buenas prácticas de desarrollo web.
 - Claro entendimiento de Casos de Uso (RUP).
 - Excelente manejo de Navegadores Web, Máquinas Virtuales, estándares W3C.
 - Conocimientos de componentes utilizados para la interacción con Redes Sociales y Social Media.
 - Conocimientos de Diseño Web, HTML, Java, .NET y Programación en dispositivos móviles.
 - Conocimiento de Base de Datos (SQL Server, MySQL, Oracle, etc.).
 
 CONOCIMIENTOS:
 Testlink, Bugzilla y Selenium."
6,6,44119971,Practicante Profesional de Consultoría,"Contribuir al control y seguimiento de la gestión de proyectos de mejora con clientes, elaborando informes de avances, planteando alternativas de solución para cumplir con los entregables.","Deseable metodologías de gestión de proyectos (PMI) y procesos de negocio (BPM) .
 Ms Office a nivel avanzado.
 De preferencia conocimiento de adonis u otros modeladores de procesos.
 
 Experiencia
 
 Experiencia mínima de un año en labores o prácticas similares Deseable funcionales por módulos de SAP."
7,6,44119974,Consultor Senior de Proyectos,"Analiza e investiga información relacionada proponiendo oportunidades de mejora en los procesos de negocio involucrados en el proyecto, según los lineamientos recibidos y plantea alternativas de solución a los problemas detectados en el análisis y sustenta dichas alternativas.
 
 Aplica las técnicas y metodologías de análisis y mejora de procesos para lograr los objetivos y entregables del proyecto, informando a su inmediato superior el avance de los entregables asignados.","Deseable haber utilizado la metodología ASAP en la implementación de proyectos SAP o Metodologías afines en implantación o Gestión de Proyectos (PMI, BMP).
 Manejo de MS Office a nivel avanzado.
 Manejo de Adonis y Ms Project.
 
 Experiencia mínima de 3 años en consultoría habiendo participado en el Desarrollo de proyectos y/o Implementación de Sistemas."
8,6,44119975,Consultor Junior de Proyectos,"Relevar la información de la situación actual de los procesos de negocio de acuerdo a la metodología establecida por la gerencia.
 Analizar la información relevada de los procesos e identifica oportunidades de mejora y propone soluciones al equipo de trabajo.","Experto en manejo de herramientas ofimáticas.
 Alta capacidad de análisis y comunicación.
 Conocimiento de adonis u otros modeladores de procesos.
 
 Experiencia mínima de un año en la implantación de proyectos o metodologías afines en Implantación o Gestión de Proyectos (PMI, BMP).
 Experiencia en proyectos corporativos de envergadura como consultor."
9,6,44119977,Practicante de Riesgo Minorista,"Conocimiento de los procesos de Venta de Cartera, aplicar sus conocimientos en la automatización y optimización de los procesos de venta.",Estudiante universitario entre 7mo y 9no ciclo.
10,6,44119981,Jefe De Aseguramiento De Calidad,"• Planificar, organizar dirigir y supervisar las actividades relacionadas al Control y Aseguramiento de Calidad.
 • Responsable de la Calidad del Producto.
 • Auditar todos los procedimientos de la organización.
 • Documentar cualquier cambio en los procedimientos de la empresa.
 • Capacitación a las revisoras de QA.
 • Coordinar con todas las áreas y centralizar los requerimientos de QA.","Requisitos mínimos:
 • Situación: EGRESADO SOLO CON GRADO DE BACHILLER.
 • Especialidad: INGENIERIA DE SISTEMAS
 • Certificación ISTQB (Opcional)
 • Experiencia: Mínimo 2 años de experiencia en Control de Calidad.
 • Disponibilidad de Horario: Tiempo Completo."
