1,1,44119949,ios developer,empresa lider creacion websites ecommerce mercado internacional buscando talentosos desarrolladores amplia experiencia desarrollo aplicaciones moviles iphone android ipads trabajar sede san borja ofrecemos ambiente laboral excelente equipo colaborador interesados envien curriculum via email forma inmediata acceder entrevista empezar trabajar posicion cubrir inmediatamente buen salario permanencia dentro organizacion garantizada posicion proyecto meses freelancing,requirements years ios experience objective c ios ios sdk x git xml soap json xcode ipa ios apk android html css jquery mobile java script
2,6,44119961,practicante desarrollo negocio,soporte reportes comerciales automatizaciones reportes planificacion comercial analisis reportes seguimiento automatizacion seguimiento reporte horarios salida,indispensable
3,4,44119963,sistema arquitecto,analizar diseñar implementar arquitecturas tecnicas soluciones software analizar diseñar implementar soluciones end end mas tecnologias definir tecnologia informacion utilizara asi requerimientos infraestructura necesarios poder atender necesidades cliente incluye sizing definir procedimientos rutinas funciones formaran parte desarrollo sistema definir pruebas tecnicas necesarias procedimiento rutina funcion creada garantizar correcto funcionamiento documentacion mismas definir arquitectura diseño iniciativas desarrollo productos software definiendo estandares arquitectonicos aplicar mejores practicas estandares desarrollo conducir elaboracion documentacion tecnica sistemas cargo balanceo aplicaciones integracion directorio activo elaborar estandares desarrollo apoyar instalacion sistema bases datos ambientes destinados elaborar especificaciones tecnicas codificacion aplicaciones elaborar prototipo tecnico aplicacion realizar pruebas tecnicas integracion realizar pruebas stress carga,experiencia arquitecturas orientadas tecnologias java experiencia arquitecturas basadas webservices experiencia integracion aplicativos web experiencia uso bases datos relacionales diversas plataformas principalmente sql server experiencia minima cuatro años labores similares experiencia liderando equipos desarrollo analistas manejo sistemas conocimientos software programacion base experiencia java liferay spring x spring mvc javascript ehcache hibernate x haber usado administrado websphere haber implementado algun flujo proceso bpm tener conocimientos ello sql server conocimientos apache solr cms content management system visual vm jmeter
4,4,44119966,sistemas analista funcional,profesional responsable analisis funcional tecnico soluciones desarrollarse asi coordinacion directa equipo implementador responsable dar soporte actividades jefe proyectos responsable supervisar producto entregar cumpla establecido propuesta,experiencia analisis sistemas mediante elaboracion especificacion funcionalidades bajo metodologia uml casos uso diagramas experiencia interaccion directa clientes usuarios experiencia desarrollo aplicaciones web php net java experiencia modelamiento base datos conocimiento sql server oracle plsql experto metodologia desarrollo software rup scrum experiencia minima cuatro años labores similares conocimientos conocimientos software programacion base experiencia
5,4,44119968,sistemas analista calidad,elaborar ejecutar escenarios casos pruebas permitiran verificar correcto funcionamiento aplicaciones web defecto detectar errores deben ser corregidos areas encargadas,experiencia minima año demostrable proyectos similares capacidad trabajo equipo egresado cursando ultimo ciclo ingenieria sistemas computacion informatica universidad instituto conocimientos ingenieria software web buenas practicas desarrollo web claro entendimiento casos uso rup excelente manejo navegadores web maquinas virtuales estandares wc conocimientos componentes utilizados interaccion redes sociales social media conocimientos diseño web html java net programacion dispositivos moviles conocimiento base datos sql server mysql oracle conocimientos testlink bugzilla selenium
6,6,44119971,practicante profesional consultoria,contribuir control seguimiento gestion proyectos mejora clientes elaborando informes avances planteando alternativas solucion cumplir entregables,deseable metodologias gestion proyectos pmi procesos negocio bpm ms office nivel avanzado preferencia conocimiento adonis u modeladores procesos experiencia experiencia minima año labores practicas similares deseable funcionales modulos sap
7,6,44119974,consultor senior proyectos,analiza investiga informacion relacionada proponiendo oportunidades mejora procesos negocio involucrados proyecto segun lineamientos recibidos plantea alternativas solucion problemas detectados analisis sustenta dichas alternativas aplica tecnicas metodologias analisis mejora procesos lograr objetivos entregables proyecto informando inmediato superior avance entregables asignados,deseable haber utilizado metodologia asap implementacion proyectos sap metodologias afines implantacion gestion proyectos pmi bmp manejo ms office nivel avanzado manejo adonis ms project experiencia minima años consultoria participado desarrollo proyectos implementacion sistemas
8,6,44119975,consultor junior proyectos,relevar informacion situacion actual procesos negocio acuerdo metodologia establecida gerencia analizar informacion relevada procesos identifica oportunidades mejora propone soluciones equipo trabajo,experto manejo herramientas ofimaticas alta capacidad analisis comunicacion conocimiento adonis u modeladores procesos experiencia minima año implantacion proyectos metodologias afines implantacion gestion proyectos pmi bmp experiencia proyectos corporativos envergadura consultor
9,6,44119977,practicante riesgo minorista,conocimiento procesos venta cartera aplicar conocimientos automatizacion optimizacion procesos venta,estudiante universitario mo ciclo
10,6,44119981,jefe aseguramiento calidad,planificar organizar dirigir supervisar actividades relacionadas control aseguramiento calidad responsable calidad producto auditar procedimientos organizacion documentar cualquier cambio procedimientos empresa capacitacion revisoras qa coordinar todas areas centralizar requerimientos qa,requisitos minimos situacion egresado solo grado bachiller especialidad ingenieria sistemas certificacion istqb opcional experiencia minimo años experiencia control calidad disponibilidad horario tiempo completo
